  Dados detalhados das AIH - por local internação - Pernambuco
Valor aprovado por Procedimento e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Procedimento";"1995/Ago";"1999/Ago";"2000/Jan";"2000/Set";"2001/Jan";"2002/Mar";"2003/Jan";"2005/Mai";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"0303110104 TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153,13;-;-;163,32;206,84;287,58;-;206,84;-;258,55;-;-;-;307,63;-;379,22;172,68;189,61;189,61;176,07;-;189,61;796,36;197,35;189,61;-;189,61;710,71;189,61;568,83;-;208,96;588,18;379,22;1081,16;-;189,61;189,61;367,62;-;232,17;-;426,62;663,63;586,26;483,69;417,14;1008,74;284,41;237,01;227,53;379,22;554,32;771,03;168,45;560,36;325,05;-;1176,38;169,07;295,06;370,75;640,99;189,61;271,72;-;174,53;-;189,61;473,63;379,22;379,22;713,96;341,84;323,96;172,68;-;431,46;1027,46;1107,87;1412,60;461,33;251,52;403,60;256,36;408,39;-;447,43;181,14;370,75;227,53;-;184,77;-;227,53;-;408,67;1074,49;488,86;189,61;189,61;-;679,64;697,83;1392,64;189,61;-;412,40;228,31;418,78;227,53;659,24;269,49;173,17;1099,92;181,14;502,28;971,28;417,14;176,07;444,90;451,97;-;357,31;-;-;578,22;1150,52;712,04;1215,69;227,53;-;-;563,99;464,54;1744,19;679,75;1628,79;1150,80;1207,82;1556,43;1319,71;474,02;1327,26;1227,87;2431,60;2285,56;2060,56;227,53;711,03;458,73;2244,35;2085,61;1086,50;885,35;541,74;2433,25;1586,58;1628,95;1508,90;81422,03
"0303110112 TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;404,71;400,07;1166,90;733,47;1633,64;1083,54;-;1000,20;666,80;1860,71;2458,33;1927,47;773,48;2574,23;1882,02;1246,90;2968,12;409,31;1158,27;865,36;1613,64;1540,30;2053,72;1686,98;806,82;2420,46;806,82;-;1192,13;3931,03;889,45;921,95;1598,35;1320,24;1568,16;880,16;2556,98;449,37;861,00;1100,22;2713,86;1540,30;1356,90;3821,20;3709,49;1733,42;440,08;913,01;2860,54;2525,44;1760,32;1330,27;2422,06;898,49;1320,24;733,48;1019,48;1686,98;1711,31;1903,41;2532,42;958,86;1608,03;1748,66;2603,80;1801,87;1215,91;806,82;2261,30;440,08;921,95;2111,22;1545,58;1462,85;2613,33;898,49;3866,36;1775,99;1686,98;1745,52;440,08;3422,97;1478,37;2589,19;2556,70;1367,60;2296,51;1490,72;1629,12;1342,87;2070,81;1403,83;3301,87;2927,42;1324,88;1818,65;2531,38;878,65;778,05;1225,32;2105,48;2010,23;2218,73;1686,98;440,08;1320,24;440,08;1305,44;1686,98;2053,72;440,08;898,49;874,65;2517,82;704,71;840,14;3000,31;2654,15;1848,55;2538,27;440,08;1773,24;1466,16;1605,37;5592,62;2459,27;414,18;2693,29;1681,46;1226,18;3443,63;1220,00;2804,61;2521,26;1653,49;1888,92;2887,46;1690,75;2696,08;1554,23;2584,98;1676,16;425,28;2523,33;2975,63;1396,80;792,02;926,50;3934,04;2019,89;425,28;872,59;2463,31;2520,80;1192,25;2086,36;2634,99;1087,24;3528,76;1259,81;1279,54;273195,57
"0303120010 IODOTERAPIA DE CARCIOMA DIFERENCIADO DA TIREOIDE (250 MCI)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1757,58;12303,06;43939,50;35151,60;49212,24;42181,92;14060,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198606,54
"0303120061 TRATAMENTO DE HIPERTIREOIDISMO (PLUMMER - ATE 30 MCI)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;443,70;532,44;532,44;-;-;443,70;-;-;-;-;-;532,44;-;-;-;-;-;-;532,44;-;532,44;-;532,44;-;532,44;-;-;-;-;-;-;-;-;-;-;-;-;443,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5058,18
"0303120070 TRATAMENTO DE HIPERTIREOIDISMO GRAVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;431,64;-;-;431,64;-;-;-;-;-;-;-;-;-;-;-;-;431,64;431,64;-;-;-;-;-;-;-;-;-;-;-;-;-;2589,84
"0303130016 ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS DEVIDO A CAUSAS EXTERNAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7659,30;-;23244,36;103446,54;174856,45;496532,33;310119,60;118303,30;263326,57;144244,39;182503,82;156501,67;186794,95;180141,23;164015,24;205974,55;168225,08;267251,64;143808,30;181612,82;222320,10;144786,82;211277,03;239184,49;205344,84;140823,24;184401,34;239087,86;128220,63;338462,49;216955,38;167570,87;168634,39;185052,48;154742,16;139985,82;135665,27;271729,36;102629,68;183123,47;168700,86;204195,84;141913,45;168501,45;145635,77;146632,82;129151,21;149756,91;171293,19;118648,95;178339,01;234240,28;132275,30;465090,59;261559,45;157799,78;226995,05;155739,21;154366,80;215554,06;526176,52;210643,43;237430,84;215296,33;161195,06;117984,25;142483,79;176742,34;154079,02;237800,74;371765,35;215069,68;220931,69;136329,97;246869,58;215695,15;176399,29;187445,40;233302,78;139454,06;210311,08;107415,52;95118,57;175208,32;126957,70;209978,73;226928,58;190901,84;306891,99;173087,88;148294,57;189572,44;148892,80;176211,97;121972,45;198412,95;299243,80;90864,49;152349,24;227460,34;196884,14;110406,67;177474,90;136728,79;212105,77;262091,21;132940,00;187113,05;159528,00;110938,43;126957,70;170229,67;158198,60;204395,25;200207,64;218819,24;102563,21;209114,62;163183,85;220612,53;126093,59;530696,48;425873,29;145502,83;167238,52;143442,26;128685,92;198678,83;156798,68;121307,75;144705,19;156601,94;181795,45;183322,89;140709,25;165244,42;115458,39;122903,03;136728,79;330821,19;129284,15;186780,70;189771,85;116987,20;232977,35;185384,83;134468,81;118183,66;112600,18;137061,14;91662,13;127356,52;68530,57;82888,09;83752,20;105222,01;91662,13;89069,80;182526,62;97843,84;129217,68;39749,06;21004,52;6115,24;28927322,61
"0303130024 ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2095,80;-;15395,32;35942,33;41987,92;342396,46;347577,76;181283,89;180707,17;193513,08;227837,65;120309,23;122923,27;249087,94;199640,87;118336,58;149630,97;123800,01;128219,54;138163,47;117999,02;117379,49;98470,03;270180,22;121661,15;218352,92;145106,64;126442,60;159873,74;201715,03;219153,29;152181,32;185590,42;90594,23;149630,86;80281,50;200388,85;88575,98;147905,87;181711,36;143291,61;100389,25;140437,51;141632,71;144306,73;109919,19;101206,20;157231,99;204176,18;119498,34;107515,54;242416,24;144523,66;472103,41;93130,28;148057,98;197318,05;154050,15;109508,75;237234,45;138503,53;61665,99;173105,89;70039,36;72208,50;173865,73;106214,24;102775,74;84464,73;46494,50;73169,17;106293,11;36777,00;56210,61;57552,08;64802,68;32740,50;188594,25;74002,50;63608,12;49409,75;48284,34;22275,50;85734,10;46569,25;44027,75;53215,12;158468,61;29750,50;48735,61;38571,00;69804,05;94035,50;148445,24;72056,24;81627,00;60921,25;49030,47;35503,48;60024,25;43205,50;116605,87;82146,09;83718,75;126850,75;56798,90;74002,50;87036,87;78299,94;76374,37;48882,33;58900,23;62190,62;52248,87;58379,75;73253,61;68469,61;77215,36;64206,09;67722,11;100535,98;152639,50;44096,98;37073,21;46569,25;75490,57;48587,50;42455,23;29302,00;35132,50;39318,50;56361,50;53890,61;26757,70;76544,00;17940,00;19360,25;17416,75;38645,75;23097,75;42009,50;247623,39;54261,66;71232,57;43876,86;98658,90;63011,47;50232,00;56660,50;51129,00;28255,50;60846,50;36702,25;60099,00;77515,75;67424,50;109957,25;52549,25;35655,75;57183,75;45448,00;53296,75;34833,50;7998,25;16283754,74
"0303130032 ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES PNEUMOLOGICAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15540,84;4914,70;34160,93;42848,22;23906,06;48487,03;39879,28;36062,44;45761,16;53040,72;62227,10;29609,77;34947,76;39339,71;42667,11;34579,92;20479,55;57488,91;25775,55;33710,71;34321,79;44406,20;47091,80;34943,28;28013,60;36042,17;22032,42;13341,94;31107,08;31845,65;21893,46;33466,15;44748,04;77684,07;30298,92;43863,40;31331,00;17542,59;30368,47;18577,44;57717,36;26244,32;27053,85;26980,12;50641,49;52259,17;24025,88;23441,58;34058,64;24327,60;23957,61;40103,68;20494,16;34648,40;39729,55;59489,26;30002,65;42010,75;25064,80;27422,45;27645,00;24622,48;66299,97;59327,97;40397,17;35827,92;17029,32;28971,96;23295,52;33247,72;11500,32;17029,32;21010,20;12384,96;27864,77;29930,32;19609,52;30225,20;45485,24;21599,96;26906,43;12606,12;31623,10;23221,80;26391,76;7445,72;34058,64;19904,40;37154,88;37892,08;40472,28;52634,68;16587,00;52857,24;36417,68;31698,21;30741,24;35898,85;23072,97;23954,84;36196,52;33762,37;26096,88;35164,44;25359,68;36896,31;32657,96;28824,52;21599,96;11352,88;29709,16;19314,64;31478,44;28824,52;35455,15;33762,37;16218,40;17987,68;8772,68;50424,48;7814,32;13933,08;26318,04;9362,44;16218,40;17765,14;8691,13;15923,52;10173,36;20420,44;12753,56;16660,72;15776,08;3686,00;24991,08;15554,92;33911,20;10247,08;123031,73;41209,48;88669,99;42756,20;22189,72;30961,02;53152,12;32657,96;36933,72;40619,72;21673,68;10689,40;9583,60;13711,92;30151,48;15260,04;19093,48;12901,00;17692,80;5160,40;7888,04;9067,56;3391,12;4811370,75
"0303130040 TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES DECORRENTES DA AIDS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3219,58;-;-;3219,58;-;-;-;-;-;-;-;-;-;7925,12;-;-;-;-;-;-;29347,71;28852,39;22289,40;-;49532,00;25261,32;1981,28;10154,06;22289,40;21298,76;3591,07;5200,86;17212,37;2352,77;15231,09;50770,30;39501,77;28604,73;11887,68;25880,47;39997,09;6686,82;33434,10;52008,60;88786,11;25880,47;28976,22;45940,93;53370,73;-;37891,98;40244,75;1238,30;28480,90;13992,79;46683,91;37891,98;35291,55;21422,59;62410,32;28109,41;80365,67;169523,27;39749,43;40368,58;52380,09;41978,37;28357,07;66496,71;64639,26;37520,49;89900,58;161598,15;67858,84;27118,77;65382,24;77889,07;71573,74;86804,83;48789,02;67239,69;41730,71;25508,98;49655,83;45321,78;46931,57;49036,68;28357,07;60057,55;47922,21;78632,05;48665,19;54113,71;15850,24;11144,70;32814,95;5696,18;23775,36;24146,85;23032,38;49655,83;12135,34;28109,41;15354,92;3343,41;22784,72;9658,74;31452,82;16840,88;22165,57;5077,03;23280,04;20431,95;19565,14;19565,14;11392,36;24023,02;10897,04;17707,69;56462,32;37022,31;12501,30;15478,75;27241,17;35641,73;22136,46;22642,89;1598,78;11429,64;47679,12;46455,60;27713,84;20270,39;30329,36;25326,42;26783,86;9471,94;7647,38;31846,07;247,66;-;-;21611,05;24351,84;29119,28;6872,99;15169,16;12309,02;11796,62;16795,19;4539,24;4274203,55
"0303130059 TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES NEUROLOGICAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2482,93;20933,08;22046,01;136576,85;113709,31;61987,58;90646,95;119268,77;65488,24;64522,81;165161,17;86708,19;66090,41;68929,16;139188,71;104675,74;80774,43;143380,96;101537,18;49427,00;45753,89;115023,69;84096,51;113871,90;67322,27;128855,59;71739,76;45189,01;112832,05;152015,04;101322,58;133382,29;65243,64;58956,59;83884,68;102453,73;68349,09;53026,72;97088,75;38341,23;69692,07;138536,82;205897,37;65236,72;153571,34;94044,24;150042,09;168968,35;120176,83;110078,24;110363,43;280179,09;132957,24;93061,20;207381,57;144256,23;156963,27;124344,21;143262,22;115304,74;171864,74;162261,78;86920,91;140443,29;94970,45;94113,51;197708,00;88968,60;101890,23;103373,04;74280,33;117706,87;122155,30;72587,08;55287,63;188315,47;84449,56;77529,78;142136,53;98557,78;112688,01;96309,27;78658,16;121161,27;139866,02;105769,64;92494,94;119105,48;116365,28;93698,09;106618,36;138603,31;189585,10;134582,66;117918,70;139878,41;106691,71;185844,13;115094,30;85436,71;117565,65;152517,60;120954,93;152301,60;138183,77;105561,95;185893,76;128439,59;184927,59;105067,68;196716,68;230822,97;111422,58;225810,78;157107,25;169887,66;152514,88;161555,68;188095,35;269446,37;160143,48;105420,73;98006,68;222845,16;96735,70;129075,08;123214,45;96029,60;86779,69;82966,75;80566,01;85438,10;80138,21;74352,33;73928,67;105985,61;56273,43;43213,32;44341,70;168833,71;128650,46;111009,92;172259,87;140525,72;96072,12;115224,75;94400,17;87268,47;42507,22;53804,82;46673,21;44271,08;12074,31;37352,69;18425,19;135500,59;96029,60;74917,21;56770,44;36787,81;55923,12;12496,68;17836520,37
"0303130067 TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES ONCOLOGICAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2046,90;-;6277,16;24825,87;24598,43;58516,26;52533,53;77072,57;32442,47;63999,73;52127,72;70198,90;78799,83;87089,98;86149,48;60472,58;61977,25;103892,48;59756,08;100452,17;94148,10;68354,09;78528,37;72001,88;78442,23;71925,14;87614,57;66269,27;88476,11;113548,11;94775,62;80881,98;63256,27;93705,35;92986,78;96003,24;78598,78;109408,37;73727,83;54382,30;84905,20;113708,52;100164,39;95292,24;147872,34;125022,59;110054,40;126963,80;143085,05;113350,30;91568,70;153545,95;91128,35;162358,90;149246,95;139502,55;118652,40;145161,82;148530,45;84475,35;112697,99;103605,90;97945,55;131979,30;96584,20;130107,81;130546,30;103462,60;147808,58;134272,10;99951,75;107187,28;151885,74;125744,64;113493,60;118843,85;86624,85;100811,55;117218,31;140648,95;138571,10;99231,65;141723,70;151969,65;106113,65;168162,55;95867,70;104179,10;107976,55;125242,97;124814,30;142081,95;121590,05;149246,95;108836,35;148817,05;142726,80;126533,90;168807,40;168664,10;111630,70;127680,30;123373,57;151591,41;155255,46;159770,63;131261,69;139714,09;90851,13;89703,55;107249,38;93497,81;95411,71;108588,78;94905,87;87094,41;126714,76;108661,24;94157,77;85659,25;94220,49;94803,91;84438,49;86123,88;64442,04;98280,29;85604,79;98033,54;101784,05;117325,88;102762,53;96849,77;116304,84;105904,48;119603,69;110077,35;74253,28;88067,75;95261,37;94584,27;106274,07;86764,63;98044,74;101550,08;96606,97;125689,42;99346,56;105486,07;107252,96;123372,06;86105,24;83373,26;63904,46;31784,75;42386,37;46394,96;50677,96;68042,04;62178,90;65557,14;67781,52;62071,61;50271,14;26110,84;16265960,30
"0303130075 TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES OSTEOMUSCULARES E DO TECIDO CONJUNT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65,27;5091,06;1127632,46;10508,47;12267,48;2937,15;11095,90;11813,87;8093,48;25063,68;44525,90;18518,23;23260,31;16175,44;1027550,29;21521,56;23165,13;18230,25;31236,21;84509,82;46195,96;17203,54;25701,11;6648,38;9321,44;13502,38;4530219,84;167580,30;146127,28;53803,90;34818,32;61548,92;16997,92;105754,49;71890,24;15214,49;6644,23;5414,66;6374,22;5414,66;177587,14;6991,08;147498,08;8773,12;6237,14;15627,12;3701,16;142357,58;6854,00;16175,44;9047,28;186563,11;11240,56;12200,12;35777,88;121452,88;29198,04;8156,26;19465,36;5346,12;92597,54;13365,30;18282,29;77311,72;20493,46;14941,72;24674,40;236463,00;10555,16;19328,28;32556,50;28784,05;5688,82;10829,32;13228,22;16929,38;203082,63;17683,32;7265,24;5688,82;12063,04;11788,88;6442,76;14050,70;10829,32;6922,54;58190,46;133173,22;45990,34;15627,12;11514,72;2535,98;85469,38;11309,10;13776,54;99177,38;4729,26;128718,12;129883,30;4523,64;7265,24;10553,78;51610,62;8087,72;6785,46;5483,20;2535,98;120424,78;4455,10;113022,46;959,56;148252,02;822,48;6305,68;15901,28;8841,66;8293,34;4455,10;9801,22;34475,62;10143,92;30911,54;6374,22;55037,62;6716,92;3015,76;2947,22;2056,20;6031,52;-;5346,12;67991,68;6100,06;2124,74;40986,92;3084,30;8773,12;2741,60;51953,32;1096,64;4180,94;3906,78;3289,92;15627,12;38450,94;3564,08;411,24;-;30705,92;9321,44;122686,60;4249,48;5483,20;-;479,78;-;12885,52;-;68,54;2604,52;3495,54;11659529,96
"0303130083 TRATAMENTO DE PACIENTES SOB CUIDADOS PROLONGADOS EM HANSENIASE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;344,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;143,45;-;-;-;-;-;-;-;860,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1491,88;487,73;-;-;-;860,70;-;-;-;-;-;-;-;-;-;-;803,32;-;-;-;-;-;-;-;-;516,42;-;-;-;-;-;-;-;-;-;-;-;-;-;258,21;-;-;-;-;-;-;-;344,28;-;-;-;-;-;-;-;-;-;-;-;-;6110,97
"0303140020 TRATAMENTO DA FIBROSE CISTICA COM MANIFESTACOES PULMONARES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;474,49;507,00;474,49;437,98;-;-;-;1117,36;-;1604,05;649,02;-;542,42;979,75;432,68;482,99;-;-;432,68;416,73;956,53;-;432,68;1738,73;2219,95;432,68;1461,01;-;607,44;-;1893,07;911,80;1056,98;408,76;1159,32;649,02;452,03;1494,30;519,20;-;1100,16;-;1075,56;459,77;-;519,20;607,44;1920,19;528,49;519,20;551,71;510,08;1485,18;-;542,42;2715,37;1862,91;1594,76;519,20;634,66;1377,20;2990,32;983,62;513,95;1367,70;1431,00;547,07;-;519,20;-;-;475,25;1038,40;551,71;551,71;-;-;2207,78;1513,44;-;1585,47;519,20;1070,91;634,66;551,71;872,13;945,22;2489,60;2134,26;-;2673,58;3227,61;556,36;1185,63;588,86;1922,20;1687,42;1466,48;2298,45;-;-;-;979,75;1703,29;-;1066,27;547,07;551,71;-;3263,83;2124,74;1251,70;2633,16;2879,30;4369,95;3867,22;1664,42;2313,66;756,05;3648,27;1256,67;2974,86;706,84;523,85;542,42;-;2411,38;3313,34;1645,85;519,20;2294,84;1639,00;547,07;2067,30;1066,27;1780,52;1177,73;1771,86;1038,40;523,85;1471,08;518,87;1622,63;1471,08;544,87;-;-;432,68;488,81;2147,99;561,00;1508,24;1645,85;1430,89;2019,67;-;161854,84
"0303140038 TRATAMENTO DAS AFECCOES NECROTICAS E SUPURATIVAS DAS VIAS AEREAS INFERIORES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;794,52;661,00;3144,67;2887,81;3754,28;1525,18;3277,32;1036,23;-;844,34;1966,90;2130,18;1884,30;2111,28;3020,03;3039,59;4193,33;2473,73;1670,94;1357,84;1219,00;619,48;2352,32;2923,29;2126,77;577,68;751,13;3368,47;3688,55;-;2946,49;2261,19;2598,60;3487,43;1444,22;6665,54;5342,25;2305,18;4627,09;6815,87;4965,42;2837,18;7088,79;7729,64;989,91;2166,34;1186,01;780,16;2412,84;2245,64;3512,57;5536,19;2673,12;3517,96;4344,75;2779,02;4762,23;7273,93;6122,22;1187,18;2274,14;3398,78;4056,08;2145,35;3957,70;-;2605,88;2712,54;4335,59;1929,89;2441,04;2898,12;1444,22;2571,56;1426,37;2593,97;2818,26;3806,01;3822,75;-;2909,00;2127,32;1029,53;2073,43;4289,53;4398,85;2408,29;2120,06;3631,21;4778,66;2278,64;4131,06;2045,99;601,76;1532,37;2154,65;2156,76;1904,65;687,15;4096,04;1649,97;1986,94;2634,37;2890,79;3628,93;1629,47;2682,49;1848,71;-;1669,32;6355,04;3308,72;1809,15;1788,76;3296,90;1948,61;3526,13;3059,78;640,95;2640,43;3273,42;2528,28;1397,61;1524,19;2284,08;1121,13;638,65;2728,11;1979,94;2682,20;3936,37;4086,21;2297,27;1361,82;3219,90;5930,38;6637,42;3098,07;3961,65;4673,99;2584,72;5055,63;1935,14;3614,72;3910,93;8710,99;481,41;2917,26;1587,53;1514,90;1517,19;4136,42;481,41;655,36;481,41;-;-;1196,65;481,41;446,45;3233,29;2128,78;427,01;430453,08
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4917,59;27471,09;78593,49;131643,70;286928,82;466472,87;474806,38;591775,09;671751,09;725269,09;679809,11;627835,25;668561,73;647700,25;584249,39;507162,02;439400,25;419826,35;380040,98;642979,12;700764,64;813407,06;764230,18;616015,22;581249,06;542877,46;536468,61;481609,09;418434,01;401862,01;392642,94;536978,84;576569,77;714263,82;655210,71;522284,78;606394,40;471675,08;519072,46;518448,32;539199,98;482710,97;480691,85;624165,34;659858,39;671512,94;649390,31;463075,82;536328,44;426183,32;487031,91;436549,38;408954,36;350268,71;355243,86;450363,21;482148,39;579768,12;455839,32;439078,82;431320,25;434405,50;408131,24;345128,71;366197,99;360193,94;323421,88;403171,59;400289,47;436838,10;419892,95;395553,36;432343,66;372096,12;362583,36;319192,63;259567,67;247359,45;241208,77;323994,80;363321,16;425798,04;373637,50;349715,58;368588,75;325614,45;342492,66;398176,18;375900,65;269906,43;299801,39;529842,80;363580,61;422051,08;383344,83;344390,51;431255,12;287896,61;323481,11;323360,47;258779,89;215339,63;207474,21;261003,08;349891,80;367072,29;393798,92;326704,13;417727,35;299461,26;306197,33;266061,56;243626,09;222532,12;316495,67;422039,77;391801,57;426128,32;412904,08;343253,41;436276,07;302677,41;312518,18;294477,67;307664,53;225982,35;235889,01;337532,06;354809,28;385392,38;357967,91;287201,10;291548,46;265880,41;294037,28;224040,54;275315,59;243659,23;247907,38;305664,57;330581,20;388706,00;284837,38;304370,13;431719,28;340454,12;334674,68;273105,91;277989,42;248211,20;252356,02;229753,10;77569,25;58569,77;68236,28;121051,55;212171,59;239419,85;227922,99;162360,81;112571,07;167516,16;188551,81;106758,49;62865254,88
